source,brand,model,ddr_generation,capacity_gb,frequency_mhz,cas_latency,timings,voltage,price_usd,in_stock,num_reviews,avg_rating,date_scraped
newegg,Team,T-FORCE VULCAN Z,DDR4,32,3200.0,4.0,,1.35,239.99,True,246.0,1.0,2025-12-28
newegg,Timetec,32GB,DDR4,32,2666.0,32.0,,1.2,157.58,True,7.0,1.0,2025-12-27
newegg,Timetec,32GB,DDR4,32,2666.0,32.0,,1.2,157.58,True,7.0,1.0,2025-12-28
newegg,Timetec,Pinnacle Konduit,DDR4,16,3200.0,4.0,,1.35,106.99,True,22.0,1.0,2025-12-27
newegg,Timetec,Pinnacle Konduit,DDR4,16,3200.0,4.0,,1.35,106.99,True,22.0,1.0,2025-12-28
newegg,Timetec,Pinnacle Konduit RGB,DDR4,32,3200.0,4.0,,1.35,169.99,True,11.0,1.0,2025-12-27
newegg,V-COLOR,Manta XSky,DDR5,32,6000.0,30.0,,1.25,369.99,True,16.0,1.0,2025-12-27
newegg,V-COLOR,Manta XSky,DDR5,32,6400.0,32.0,,1.4,379.99,True,16.0,1.0,2025-12-27
newegg,V-COLOR,Manta XSky,DDR5,32,6000.0,36.0,,1.35,349.99,True,16.0,1.0,2025-12-27
newegg,V-COLOR,Manta XSky,DDR5,32,6000.0,30.0,,1.25,359.99,True,16.0,1.0,2025-12-27
newegg,V-COLOR,Manta XSky,DDR5,32,6000.0,30.0,,1.25,369.99,True,16.0,1.0,2025-12-28
newegg,V-COLOR,Manta XSky,DDR5,32,6400.0,32.0,,1.4,379.99,True,16.0,1.0,2025-12-28
newegg,V-COLOR,Manta XSky,DDR5,32,6000.0,36.0,,1.35,349.99,True,16.0,1.0,2025-12-28
newegg,V-COLOR,Manta XSky,DDR5,32,6000.0,30.0,,1.25,359.99,True,16.0,1.0,2025-12-28
